carrier_2,region_2,region_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,length,comment
hydrogen,DED2,DED4,capaExcResiDir,59.82,,,,,,,,
hydrogen,DED4,DED2,capaExcResiDir,5.04,,,,,,,,
hydrogen,DED5,DED4,capaExcResiDir,5.04,,,,,,,,
hydrogen,DED4,DED5,capaExcResiDir,53.07,,,,,,,,
hydrogen,DED5,DE40,capaExcResiDir,48.06,,,,,,,,
hydrogen,DEE0,DED5,capaExcResiDir,39.68,,,,,,,,
hydrogen,DED5,DEG0,capaExcResiDir,7.04,,,,,,,,
hydrogen,DED5,DEE0,capaExcResiDir,94.2,,,,,,,,
hydrogen,DEG0,DEE0,capaExcResiDir,6.26,,,,,,,,
hydrogen,DEG0,DED5,capaExcResiDir,5.04,,,,,,,,
hydrogen,DEE0,DE40,capaExcResiDir,70.11,,,,,,,,
hydrogen,DE40,DE80,capaExcResiDir,40.1,,,,,,,,
hydrogen,DE80,DE40,capaExcResiDir,8.42,,,,,,,,
hydrogen,DE14,DE27,capaExcResiDir,5.13,,,,,,,,
hydrogen,DE27,DE14,capaExcResiDir,3.42,,,,,,,,
hydrogen,DE13,DE14,capaExcResiDir,27.96,,,,,,,,
hydrogen,DE14,DE13,capaExcResiDir,27.96,,,,,,,,
hydrogen,DE14,DE11,capaExcResiDir,2.5,,,,,,,,
hydrogen,DE27,DE11,capaExcResiDir,0.83,,,,,,,,
hydrogen,DE11,DE12,capaExcResiDir,27.13,,,,,,,,
hydrogen,DE13,DE12,capaExcResiDir,27.13,,,,,,,,
hydrogen,DE11,DE14,capaExcResiDir,28.83,,,,,,,,
hydrogen,DE12,DE11,capaExcResiDir,27.13,,,,,,,,
hydrogen,DE40,DE30,capaExcResiDir,20,,,,,,,,
hydrogen,DE93,DE60,capaExcResiDir,20,,,,,,,,
hydrogen,DEF0,DE60,capaExcResiDir,20,,,,,,,,
hydrogen,DE30,DE40,capaExcResiDir,20,,,,,,,,
hydrogen,DE60,DE93,capaExcResiDir,20,,,,,,,,
hydrogen,DE60,DEF0,capaExcResiDir,20,,,,,,,,
