value,parameter,region_2,technology_1,technology_2
0.8386600300989324,capaConvLow,DE94,fermenter,
0.1590835921761164,capaConvLow,DEA1,fermenter,
0.21149345503875605,capaConvLow,DEA2,fermenter,
0.2615102721204979,capaConvLow,DEA3,fermenter,
0.2371923425178166,capaConvLow,DEA4,fermenter,
0.14000892263857959,capaConvLow,DEA5,fermenter,
0.15632086317756033,capaConvLow,DEB1,fermenter,
0.10408010645040781,capaConvLow,DEB2,fermenter,
0.14118971887833331,capaConvLow,DEB3,fermenter,
0.06159859170823374,capaConvLow,DEC0_,fermenter,
0.21482720578279021,capaConvLow,DED2,fermenter,
0.1564419193975155,capaConvLow,DED4,fermenter,
0.09651977636392609,capaConvLow,DED5,fermenter,
0.7184447893480597,capaConvLow,DEE0,fermenter,
1.6268458335352394,capaConvLow,DEF0,fermenter,
0.2526645014399285,capaConvLow,DEG0,fermenter,
1.8137460816003883,capaConvLow,DE11,electrolysis,
0.8398739296118948,capaConvLow,DE12,electrolysis,
0.9261756756048405,capaConvLow,DE13,electrolysis,
0.9204205618815308,capaConvLow,DE14,electrolysis,
2.021045364807586,capaConvLow,DE21,electrolysis,
1.8195081649111622,capaConvLow,DE22,electrolysis,
1.2816354757585773,capaConvLow,DE23,electrolysis,
1.142452579241229,capaConvLow,DE24,electrolysis,
1.1280597180739849,capaConvLow,DE25,electrolysis,
1.1791786173044077,capaConvLow,DE26,electrolysis,
2.025882389417702,capaConvLow,DE27,electrolysis,
0.26062769959003507,capaConvLow,DE30,electrolysis,
5.924863217566095,capaConvLow,DE40,electrolysis,
0.17216917452742686,capaConvLow,DE50,electrolysis,
0.21703803664681634,capaConvLow,DE60,electrolysis,
1.0913518869192933,capaConvLow,DE71,electrolysis,
0.7286442056601363,capaConvLow,DE72,electrolysis,
1.3419732954948445,capaConvLow,DE73,electrolysis,
9.187390633014052,capaConvLow,DE80,electrolysis,
1.0469594002248244,capaConvLow,DE91,electrolysis,
3.6597368644105166,capaConvLow,DE92,electrolysis,
3.749566189659573,capaConvLow,DE93,electrolysis,
6.846107817950882,capaConvLow,DE94,electrolysis,
1.2986232621294047,capaConvLow,DEA1,electrolysis,
1.726452846233138,capaConvLow,DEA2,electrolysis,
2.1347476381191166,capaConvLow,DEA3,electrolysis,
1.936236725479514,capaConvLow,DEA4,electrolysis,
1.142913869098768,capaConvLow,DEA5,electrolysis,
1.276070690268238,capaConvLow,DEB1,electrolysis,
0.8496215449533726,capaConvLow,DEB2,electrolysis,
1.152552886195399,capaConvLow,DEB3,electrolysis,
0.5028385580969638,capaConvLow,DEC0_,electrolysis,
1.7536667543874822,capaConvLow,DED2,electrolysis,
1.2770588903780595,capaConvLow,DED4,electrolysis,
0.7879054346658153,capaConvLow,DED5,electrolysis,
5.86477274771472,capaConvLow,DEE0,electrolysis,
