timestep_4,technology_2,technology_3,parameter,value
h0188,offshore,offshore_a,avaConv,0.322803884
h0189,offshore,offshore_a,avaConv,0.510595725
h0190,offshore,offshore_a,avaConv,0.597268033
h0191,offshore,offshore_a,avaConv,0.702942411
h0192,offshore,offshore_a,avaConv,0.763827816
h0193,offshore,offshore_a,avaConv,0.733045854
h0194,offshore,offshore_a,avaConv,0.704469493
h0195,offshore,offshore_a,avaConv,0.624040863
h0196,offshore,offshore_a,avaConv,0.584418585
h0197,offshore,offshore_a,avaConv,0.599822299
h0198,offshore,offshore_a,avaConv,0.630649566
h0199,offshore,offshore_a,avaConv,0.571013673
h0200,offshore,offshore_a,avaConv,0.547276436
h0201,offshore,offshore_a,avaConv,0.534747198
h0202,offshore,offshore_a,avaConv,0.529958537
h0203,offshore,offshore_a,avaConv,0.533791085
h0204,offshore,offshore_a,avaConv,0.562050889
h0205,offshore,offshore_a,avaConv,0.564424916
h0206,offshore,offshore_a,avaConv,0.530481924
h0207,offshore,offshore_a,avaConv,0.510506929
h0208,offshore,offshore_a,avaConv,0.472721745
h0209,offshore,offshore_a,avaConv,0.49872105
h0210,offshore,offshore_a,avaConv,0.553191373
h0211,offshore,offshore_a,avaConv,0.573454224
h0212,offshore,offshore_a,avaConv,0.5933856
h0213,offshore,offshore_a,avaConv,0.600151509
h0214,offshore,offshore_a,avaConv,0.661648195
h0215,offshore,offshore_a,avaConv,0.70523245
h0216,offshore,offshore_a,avaConv,0.75845596
h0217,offshore,offshore_a,avaConv,0.800013526
h0218,offshore,offshore_a,avaConv,0.837767544
h0219,offshore,offshore_a,avaConv,0.84590841
h0220,offshore,offshore_a,avaConv,0.845558273
h0221,offshore,offshore_a,avaConv,0.852059727
h0222,offshore,offshore_a,avaConv,0.853873163
h0223,offshore,offshore_a,avaConv,0.853873163
h0224,offshore,offshore_a,avaConv,0.850663539
h0225,offshore,offshore_a,avaConv,0.837908218
h0226,offshore,offshore_a,avaConv,0.840508696
h0227,offshore,offshore_a,avaConv,0.832131411
h0228,offshore,offshore_a,avaConv,0.824352261
h0229,offshore,offshore_a,avaConv,0.808403141
h0230,offshore,offshore_a,avaConv,0.782818178
h0231,offshore,offshore_a,avaConv,0.790787465
h0232,offshore,offshore_a,avaConv,0.795911261
h0233,offshore,offshore_a,avaConv,0.765443246
