technology_1,technology_2,region_2,parameter,value
D_Battery_Li-Ion,,FR,capaStSizeResi,797.2038743
D_Battery_Li-Ion,,LU,capaStSizeResi,4.943949614
D_Battery_Li-Ion,,IE,capaStSizeResi,48.37138759
D_Battery_Li-Ion,,UK,capaStSizeResi,318.9502033
D_Battery_Li-Ion,,GR,capaStSizeResi,150.7154607
D_Battery_Li-Ion,,PT,capaStSizeResi,91.50474966
D_Battery_Li-Ion,,ES,capaStSizeResi,349.5803356
D_Battery_Li-Ion,,IT,capaStSizeResi,93.61506226
D_Battery_Li-Ion,,PL,capaStSizeResi,219.4918352
D_Battery_Li-Ion,,NO,capaStSizeResi,0.020190805
D_Battery_Li-Ion,,FI,capaStSizeResi,95.81787233
D_Battery_Li-Ion,,SE,capaStSizeResi,95.62703143
D_Battery_Li-Ion,,DK,capaStSizeResi,22.95761589
D_Battery_Li-Ion,,CH,capaStSizeResi,3.669617796
D_Battery_Li-Ion,,AT,capaStInResi,24.78716488
D_Battery_Li-Ion,,NONEU_Balkan,capaStInResi,57.72981807
D_Battery_Li-Ion,,EE,capaStInResi,10.62367469
D_Battery_Li-Ion,,LT,capaStInResi,19.58650864
D_Battery_Li-Ion,,LV,capaStInResi,1.685351701
D_Battery_Li-Ion,,NL,capaStInResi,42.47176383
D_Battery_Li-Ion,,BE,capaStInResi,0.072376013
D_Battery_Li-Ion,,CZ,capaStInResi,19.52098615
D_Battery_Li-Ion,,HU,capaStInResi,22.56194769
D_Battery_Li-Ion,,SK,capaStInResi,9.031121724
D_Battery_Li-Ion,,HR,capaStInResi,1.472541149
D_Battery_Li-Ion,,SI,capaStInResi,0.847449531
D_Battery_Li-Ion,,BG,capaStInResi,5.834761683
D_Battery_Li-Ion,,RO,capaStInResi,15.43639219
D_Battery_Li-Ion,,TR,capaStInResi,330.320913
D_Battery_Li-Ion,,FR,capaStInResi,265.7346248
D_Battery_Li-Ion,,LU,capaStInResi,1.647983205
D_Battery_Li-Ion,,IE,capaStInResi,16.12379586
D_Battery_Li-Ion,,UK,capaStInResi,106.3167344
D_Battery_Li-Ion,,GR,capaStInResi,50.23848689
D_Battery_Li-Ion,,PT,capaStInResi,30.50158322
D_Battery_Li-Ion,,ES,capaStInResi,116.5267785
D_Battery_Li-Ion,,IT,capaStInResi,31.20502075
D_Battery_Li-Ion,,PL,capaStInResi,73.16394506
D_Battery_Li-Ion,,NO,capaStInResi,0.006730268
D_Battery_Li-Ion,,FI,capaStInResi,31.93929078
D_Battery_Li-Ion,,SE,capaStInResi,31.87567714
D_Battery_Li-Ion,,DK,capaStInResi,7.65253863
D_Battery_Li-Ion,,CH,capaStInResi,1.223205932
,,AT,expConvFix,0
,,AT,expStOutFix,0
,,AT,expStSizeFix,0
,,AT,expStInFix,0
,,BE,expConvFix,0
,,BE,expStOutFix,0
,,BE,expStSizeFix,0
,,BE,expStInFix,0
,,BG,expConvFix,0
,,BG,expStOutFix,0
,,BG,expStSizeFix,0
,,BG,expStInFix,0
,,CH,expConvFix,0
,,CH,expStOutFix,0
,,CH,expStSizeFix,0
,,CH,expStInFix,0
,,CZ,expConvFix,0
,,CZ,expStOutFix,0
,,CZ,expStSizeFix,0
,,CZ,expStInFix,0
,,DK,expConvFix,0
,,DK,expStOutFix,0
,,DK,expStSizeFix,0
,,DK,expStInFix,0
,,EE,expConvFix,0
,,EE,expStOutFix,0
,,EE,expStSizeFix,0
,,EE,expStInFix,0
,,ES,expConvFix,0
,,ES,expStOutFix,0
,,ES,expStSizeFix,0
,,ES,expStInFix,0
,,FI,expConvFix,0
,,FI,expStOutFix,0
,,FI,expStSizeFix,0
,,FI,expStInFix,0
,,FR,expConvFix,0
,,FR,expStOutFix,0
,,FR,expStSizeFix,0
,,FR,expStInFix,0
,,GR,expConvFix,0
,,GR,expStOutFix,0
,,GR,expStSizeFix,0
,,GR,expStInFix,0
,,HR,expConvFix,0
,,HR,expStOutFix,0
,,HR,expStSizeFix,0
,,HR,expStInFix,0
,,HU,expConvFix,0
,,HU,expStOutFix,0
,,HU,expStSizeFix,0
,,HU,expStInFix,0
,,IE,expConvFix,0
,,IE,expStOutFix,0
,,IE,expStSizeFix,0
,,IE,expStInFix,0
,,IT,expConvFix,0
,,IT,expStOutFix,0
,,IT,expStSizeFix,0
,,IT,expStInFix,0
,,LT,expConvFix,0
,,LT,expStOutFix,0
,,LT,expStSizeFix,0
,,LT,expStInFix,0
,,LU,expConvFix,0
,,LU,expStOutFix,0
,,LU,expStSizeFix,0
,,LU,expStInFix,0
,,LV,expConvFix,0
,,LV,expStOutFix,0
,,LV,expStSizeFix,0
,,LV,expStInFix,0
,,NL,expConvFix,0
,,NL,expStOutFix,0
,,NL,expStSizeFix,0
,,NL,expStInFix,0
,,NO,expConvFix,0
,,NO,expStOutFix,0
,,NO,expStSizeFix,0
,,NO,expStInFix,0
,,NONEU_Balkan,expConvFix,0
,,NONEU_Balkan,expStOutFix,0
,,NONEU_Balkan,expStSizeFix,0
,,NONEU_Balkan,expStInFix,0
,,PL,expConvFix,0
,,PL,expStOutFix,0
,,PL,expStSizeFix,0
,,PL,expStInFix,0
,,PT,expConvFix,0
,,PT,expStOutFix,0
,,PT,expStSizeFix,0
,,PT,expStInFix,0
,,RO,expConvFix,0
,,RO,expStOutFix,0
,,RO,expStSizeFix,0
,,RO,expStInFix,0
,,SE,expConvFix,0
,,SE,expStOutFix,0
,,SE,expStSizeFix,0
,,SE,expStInFix,0
,,SI,expConvFix,0
,,SI,expStOutFix,0
,,SI,expStSizeFix,0
,,SI,expStInFix,0
,,SK,expConvFix,0
,,SK,expStOutFix,0
,,SK,expStSizeFix,0
,,SK,expStInFix,0
,,TR,expConvFix,0
,,TR,expStOutFix,0
,,TR,expStSizeFix,0
,,TR,expStInFix,0
,,UK,expConvFix,0
,,UK,expStOutFix,0
,,UK,expStSizeFix,0
,,UK,expStInFix,0
