timestep_superordinate_expansion,timestep_superordinate_dispatch,timestep_dispatch,region_dispatch,carrier,technology,M,scr,variable
none,2050,2050 < d035,DE,gas < hydrogen,gasStorage,none,none,42607.048331963095
none,2050,2050 < d036,DE,gas < hydrogen,gasStorage,none,none,41160.256101172694
none,2050,2050 < d037,DE,gas < hydrogen,gasStorage,none,none,40664.95233485342
none,2050,2050 < d038,DE,gas < hydrogen,gasStorage,none,none,39696.67619139912
none,2050,2050 < d039,DE,gas < hydrogen,gasStorage,none,none,39158.289530325026
none,2050,2050 < d040,DE,gas < hydrogen,gasStorage,none,none,38091.602506596995
none,2050,2050 < d041,DE,gas < hydrogen,gasStorage,none,none,37154.823854938964
none,2050,2050 < d042,DE,gas < hydrogen,gasStorage,none,none,35332.899565219675
none,2050,2050 < d043,DE,gas < hydrogen,gasStorage,none,none,33731.11143958884
none,2050,2050 < d044,DE,gas < hydrogen,gasStorage,none,none,31681.94959687152
none,2050,2050 < d045,DE,gas < hydrogen,gasStorage,none,none,29945.26873022605
none,2050,2050 < d046,DE,gas < hydrogen,gasStorage,none,none,27512.563294277392
none,2050,2050 < d047,DE,gas < hydrogen,gasStorage,none,none,27066.58692419628
none,2050,2050 < d048,DE,gas < hydrogen,gasStorage,none,none,25928.41544607543
none,2050,2050 < d049,DE,gas < hydrogen,gasStorage,none,none,24435.454128599722
none,2050,2050 < d050,DE,gas < hydrogen,gasStorage,none,none,21972.88744996314
none,2050,2050 < d051,DE,gas < hydrogen,gasStorage,none,none,20561.82500389821
none,2050,2050 < d052,DE,gas < hydrogen,gasStorage,none,none,19381.92259145294
none,2050,2050 < d053,DE,gas < hydrogen,gasStorage,none,none,18641.126364963053
none,2050,2050 < d054,DE,gas < hydrogen,gasStorage,none,none,17033.018789510115
none,2050,2050 < d055,DE,gas < hydrogen,gasStorage,none,none,15874.583189719313
none,2050,2050 < d056,DE,gas < hydrogen,gasStorage,none,none,14145.053201340148
none,2050,2050 < d057,DE,gas < hydrogen,gasStorage,none,none,13017.475691822086
none,2050,2050 < d058,DE,gas < hydrogen,gasStorage,none,none,12836.360381905079
none,2050,2050 < d059,DE,gas < hydrogen,gasStorage,none,none,12159.271114375939
none,2050,2050 < d060,DE,gas < hydrogen,gasStorage,none,none,10961.297606378974
none,2050,2050 < d061,DE,gas < hydrogen,gasStorage,none,none,10041.013423523787
none,2050,2050 < d062,DE,gas < hydrogen,gasStorage,none,none,8943.691056950329
none,2050,2050 < d063,DE,gas < hydrogen,gasStorage,none,none,8041.898210029928
none,2050,2050 < d064,DE,gas < hydrogen,gasStorage,none,none,5900.933048323784
none,2050,2050 < d065,DE,gas < hydrogen,gasStorage,none,none,3815.745748907245
none,2050,2050 < d066,DE,gas < hydrogen,gasStorage,none,none,1509.731901541374
none,2050,2050 < d067,DE,gas < hydrogen,gasStorage,none,none,423.09828738850564
none,2050,2050 < d068,DE,gas < hydrogen,gasStorage,none,none,886.3466511411704
none,2050,2050 < d069,DE,gas < hydrogen,gasStorage,none,none,886.3464489584101
none,2050,2050 < d070,DE,gas < hydrogen,gasStorage,none,none,886.3466673260951
none,2050,2050 < d071,DE,gas < hydrogen,gasStorage,none,none,886.3461609974349
none,2050,2050 < d072,DE,gas < hydrogen,gasStorage,none,none,1466.7950275142161
none,2050,2050 < d073,DE,gas < hydrogen,gasStorage,none,none,1551.4032733805582
none,2050,2050 < d074,DE,gas < hydrogen,gasStorage,none,none,1.2455357700114351e-9
none,2050,2050 < d075,DE,gas < hydrogen,gasStorage,none,none,719.2609808638615
none,2050,2050 < d076,DE,gas < hydrogen,gasStorage,none,none,1311.9523764182798
none,2050,2050 < d077,DE,gas < hydrogen,gasStorage,none,none,1312.7686653854034
none,2050,2050 < d078,DE,gas < hydrogen,gasStorage,none,none,1312.7689734019157
none,2050,2050 < d079,DE,gas < hydrogen,gasStorage,none,none,1312.7692336132802
none,2050,2050 < d080,DE,gas < hydrogen,gasStorage,none,none,1304.3540558993493
none,2050,2050 < d081,DE,gas < hydrogen,gasStorage,none,none,1362.8874581886441
