timestep_superordinate_expansion,timestep_superordinate_dispatch,timestep_dispatch,region_dispatch,carrier,technology,M,scr,variable
none,2050,2050 < d116,DE,gas < hydrogen,gasStorage,none,none,11993.40639458199
none,2050,2050 < d117,DE,gas < hydrogen,gasStorage,none,none,12579.017719752645
none,2050,2050 < d118,DE,gas < hydrogen,gasStorage,none,none,13201.473282130433
none,2050,2050 < d119,DE,gas < hydrogen,gasStorage,none,none,13734.182741328545
none,2050,2050 < d120,DE,gas < hydrogen,gasStorage,none,none,14300.609963639237
none,2050,2050 < d121,DE,gas < hydrogen,gasStorage,none,none,15126.63717565089
none,2050,2050 < d122,DE,gas < hydrogen,gasStorage,none,none,15126.639451916348
none,2050,2050 < d123,DE,gas < hydrogen,gasStorage,none,none,16120.901159218438
none,2050,2050 < d124,DE,gas < hydrogen,gasStorage,none,none,16864.509868867994
none,2050,2050 < d125,DE,gas < hydrogen,gasStorage,none,none,17375.210533652502
none,2050,2050 < d126,DE,gas < hydrogen,gasStorage,none,none,18353.363490020412
none,2050,2050 < d127,DE,gas < hydrogen,gasStorage,none,none,19577.2428773892
none,2050,2050 < d128,DE,gas < hydrogen,gasStorage,none,none,20815.798974795347
none,2050,2050 < d129,DE,gas < hydrogen,gasStorage,none,none,22054.352080732082
none,2050,2050 < d130,DE,gas < hydrogen,gasStorage,none,none,23292.907001922697
none,2050,2050 < d131,DE,gas < hydrogen,gasStorage,none,none,24531.464192419593
none,2050,2050 < d132,DE,gas < hydrogen,gasStorage,none,none,25770.015706384394
none,2050,2050 < d133,DE,gas < hydrogen,gasStorage,none,none,27008.573360958042
none,2050,2050 < d134,DE,gas < hydrogen,gasStorage,none,none,28197.741677604445
none,2050,2050 < d135,DE,gas < hydrogen,gasStorage,none,none,29436.283447018657
none,2050,2050 < d136,DE,gas < hydrogen,gasStorage,none,none,30424.538199420575
none,2050,2050 < d137,DE,gas < hydrogen,gasStorage,none,none,31301.946482715906
none,2050,2050 < d138,DE,gas < hydrogen,gasStorage,none,none,32002.812858146994
none,2050,2050 < d139,DE,gas < hydrogen,gasStorage,none,none,32207.303590165644
none,2050,2050 < d140,DE,gas < hydrogen,gasStorage,none,none,32411.87192296817
none,2050,2050 < d141,DE,gas < hydrogen,gasStorage,none,none,33139.762012624116
