region_2,technology_1,technology_2,parameter,value
DE40,rooftop,rooftop_c,capaConvUp,8.18774514
DE50,rooftop,rooftop_a,capaConvUp,3.85488869
DE50,rooftop,rooftop_b,capaConvUp,1.04125046
DE50,rooftop,rooftop_c,capaConvUp,0.190052473
DE60,rooftop,rooftop_a,capaConvUp,10.38555156
DE60,rooftop,rooftop_b,capaConvUp,1.34462776
DE60,rooftop,rooftop_c,capaConvUp,0.231016528
DE71,rooftop,rooftop_a,capaConvUp,5.461047164
DE71,rooftop,rooftop_b,capaConvUp,6.828594425
DE71,rooftop,rooftop_c,capaConvUp,14.96610715
DE72,rooftop,rooftop_a,capaConvUp,2.552337185
DE72,rooftop,rooftop_b,capaConvUp,5.599340713
DE72,rooftop,rooftop_c,capaConvUp,4.856307082
DE73,rooftop,rooftop_a,capaConvUp,3.643716474
DE73,rooftop,rooftop_b,capaConvUp,3.643716474
DE73,rooftop,rooftop_c,capaConvUp,9.598977708
DE80,rooftop,rooftop_a,capaConvUp,6.45726908
DE80,rooftop,rooftop_b,capaConvUp,10.0447794
DE80,rooftop,rooftop_c,capaConvUp,6.788152753
DE91,rooftop,rooftop_a,capaConvUp,2.496386754
DE91,rooftop,rooftop_b,capaConvUp,7.93282888
DE91,rooftop,rooftop_c,capaConvUp,11.07326201
DE13,rooftop,rooftop_a,capaConvUp,14.61785023
DE13,rooftop,rooftop_b,capaConvUp,3.64087325
DE13,rooftop,rooftop_c,capaConvUp,4.631250188
DE24,rooftop,rooftop_a,capaConvUp,6.730929627
DE24,rooftop,rooftop_b,capaConvUp,5.463530117
DE24,rooftop,rooftop_c,capaConvUp,0.624042118
DE27,rooftop,rooftop_a,capaConvUp,3.731893249
DE27,rooftop,rooftop_b,capaConvUp,8.382414445
DE27,rooftop,rooftop_c,capaConvUp,13.81039567
DE14,rooftop,rooftop_a,capaConvUp,6.575085109
DE14,rooftop,rooftop_b,capaConvUp,3.129069443
DE14,rooftop,rooftop_c,capaConvUp,11.15295728
DE30,rooftop,rooftop_a,capaConvUp,1.147212986
DE30,rooftop,rooftop_b,capaConvUp,15.67678817
DE30,rooftop,rooftop_c,capaConvUp,0.550718148
DE11,wind_onshore,onshore_a,capaConvUp,2.95662707
DE11,wind_onshore,onshore_b,capaConvUp,3.139448536
DE12,wind_onshore,onshore_a,capaConvUp,2.068222305
DE12,wind_onshore,onshore_b,capaConvUp,1.219027477
DE94,wind_onshore,onshore_a,capaConvUp,5.091505917
DE94,wind_onshore,onshore_b,capaConvUp,6.567913994
DEA1,wind_onshore,onshore_a,capaConvUp,0.436233704
DEA1,wind_onshore,onshore_b,capaConvUp,2.310294354
DEA4,wind_onshore,onshore_a,capaConvUp,1.464618378
DEA4,wind_onshore,onshore_b,capaConvUp,4.416490215
DEA5,wind_onshore,onshore_a,capaConvUp,0.846236387
DEA5,wind_onshore,onshore_b,capaConvUp,2.087517605
DEB3,wind_onshore,onshore_a,capaConvUp,2.298284059
DEB3,wind_onshore,onshore_b,capaConvUp,1.841111343
DED2,wind_onshore,onshore_a,capaConvUp,4.083242017
DED2,wind_onshore,onshore_b,capaConvUp,1.285763593
DED4,wind_onshore,onshore_a,capaConvUp,2.482102187
DED4,wind_onshore,onshore_b,capaConvUp,1.220459817
DED5,wind_onshore,onshore_a,capaConvUp,0.465309573
DED5,wind_onshore,onshore_b,capaConvUp,1.884298449
DEE0,wind_onshore,onshore_a,capaConvUp,6.398730497
DEE0,wind_onshore,onshore_b,capaConvUp,14.30917567
DEF0,wind_onshore,onshore_a,capaConvUp,9.61878538
DEF0,wind_onshore,onshore_b,capaConvUp,3.48400518
DEG0,wind_onshore,onshore_a,capaConvUp,3.703327731
DEG0,wind_onshore,onshore_b,capaConvUp,3.669657814
DE92,wind_onshore,onshore_a,capaConvUp,6.159641216
DE92,wind_onshore,onshore_b,capaConvUp,5.477604396
DE93,wind_onshore,onshore_a,capaConvUp,6.651604858
