region_2,technology_1,technology_2,parameter,value
IT,wind_offshore,offshore_a,capaConvUp,0.570652174
LT,wind_offshore,offshore_a,capaConvUp,0.190217391
LU,wind_offshore,offshore_a,capaConvUp,0
LV,wind_offshore,offshore_a,capaConvUp,0.317028986
NL,wind_offshore,offshore_a,capaConvUp,11.41304348
NO,wind_offshore,offshore_a,capaConvUp,0
NONEU_Balkan,wind_offshore,offshore_a,capaConvUp,0
PL,wind_offshore,offshore_a,capaConvUp,3.170289855
PT,wind_offshore,offshore_a,capaConvUp,0
RO,wind_offshore,offshore_a,capaConvUp,0
SE,wind_offshore,offshore_a,capaConvUp,1.394927536
SI,wind_offshore,offshore_a,capaConvUp,0
SK,wind_offshore,offshore_a,capaConvUp,0
TR,wind_offshore,offshore_a,capaConvUp,0
UK,wind_offshore,offshore_a,capaConvUp,25.36231884
AT,rooftop,,capaConvUp,53.83947158
BE,rooftop,,capaConvUp,83.87272182
BG,rooftop,,capaConvUp,77.74067165
CH,rooftop,,capaConvUp,106.9062024
CZ,rooftop,,capaConvUp,46.88677302
DK,rooftop,,capaConvUp,13.31345612
EE,rooftop,,capaConvUp,5.306088114
ES,rooftop,,capaConvUp,238.0477447
FI,rooftop,,capaConvUp,28.79760866
FR,rooftop,,capaConvUp,301.5584382
GR,rooftop,,capaConvUp,56.93024636
HR,rooftop,,capaConvUp,35.18407568
HU,rooftop,,capaConvUp,81.09220621
IE,rooftop,,capaConvUp,226.5010092
IT,rooftop,,capaConvUp,277.7509295
LT,rooftop,,capaConvUp,4.075592617
LU,rooftop,,capaConvUp,2.989145139
LV,rooftop,,capaConvUp,3.552029124
NL,rooftop,,capaConvUp,127.1378326
NO,rooftop,,capaConvUp,25.1998809
NONEU_Balkan,rooftop,,capaConvUp,105.0236161
PL,rooftop,,capaConvUp,115.7985036
PT,rooftop,,capaConvUp,53.32724518
RO,rooftop,,capaConvUp,86.37659941
SE,rooftop,,capaConvUp,14.17181532
SI,rooftop,,capaConvUp,8.567292417
SK,rooftop,,capaConvUp,29.68060621
TR,rooftop,,capaConvUp,17.25251166
UK,rooftop,,capaConvUp,623.5106183
AT,openspace,openspace_a,capaConvUp,31.40635842
BE,openspace,openspace_a,capaConvUp,64.79056818
BG,openspace,openspace_a,capaConvUp,18.7688193
CH,openspace,openspace_a,capaConvUp,60.58018139
CZ,openspace,openspace_a,capaConvUp,26.35647004
DK,openspace,openspace_a,capaConvUp,5.820455693
EE,openspace,openspace_a,capaConvUp,1.077799148
ES,openspace,openspace_a,capaConvUp,144.2160417
FI,openspace,openspace_a,capaConvUp,20.91446439
FR,openspace,openspace_a,capaConvUp,154.98638
GR,openspace,openspace_a,capaConvUp,40.07724924
HR,openspace,openspace_a,capaConvUp,17.44295278
HU,openspace,openspace_a,capaConvUp,24.16174431
IE,openspace,openspace_a,capaConvUp,63.65459396
IT,openspace,openspace_a,capaConvUp,145.8635285
LT,openspace,openspace_a,capaConvUp,3.340649686
LU,openspace,openspace_a,capaConvUp,2.615501997
LV,openspace,openspace_a,capaConvUp,3.552029124
NL,openspace,openspace_a,capaConvUp,81.66682843
