timestep_3,technology_1,region_2,region_3,value,parameter
h0029,D_PHS,,CH,10.39,stInflow
h0029,D_PHS,Germany_,,5.9551,stInflow
h0029,D_PHS,,FR,12.716,stInflow
h0029,D_PHS,,IT,15.102,stInflow
h0029,D_PHS,,NO,24.7,stInflow
h0029,D_PHS,,SE,4.98,stInflow
h0030,D_PHS,,AT,7.846,stInflow
h0030,D_PHS,,CH,10.39,stInflow
h0030,D_PHS,Germany_,,5.9551,stInflow
h0030,D_PHS,,FR,12.716,stInflow
h0030,D_PHS,,IT,15.102,stInflow
h0030,D_PHS,,NO,24.7,stInflow
h0030,D_PHS,,SE,4.98,stInflow
h0031,D_PHS,,AT,7.846,stInflow
h0031,D_PHS,,CH,10.39,stInflow
h0031,D_PHS,Germany_,,5.9551,stInflow
h0031,D_PHS,,FR,12.716,stInflow
h0031,D_PHS,,IT,15.102,stInflow
h0031,D_PHS,,NO,24.7,stInflow
h0031,D_PHS,,SE,4.98,stInflow
h0032,D_PHS,,AT,7.846,stInflow
h0032,D_PHS,,CH,10.39,stInflow
h0032,D_PHS,Germany_,,5.9551,stInflow
h0032,D_PHS,,FR,12.716,stInflow
h0032,D_PHS,,IT,15.102,stInflow
h0032,D_PHS,,NO,24.7,stInflow
h0032,D_PHS,,SE,4.98,stInflow
h0033,D_PHS,,AT,7.846,stInflow
h0033,D_PHS,,CH,10.39,stInflow
h0033,D_PHS,Germany_,,5.9551,stInflow
h0033,D_PHS,,FR,12.716,stInflow
h0033,D_PHS,,IT,15.102,stInflow
h0033,D_PHS,,NO,24.7,stInflow
h0033,D_PHS,,SE,4.98,stInflow
h0034,D_PHS,,AT,7.846,stInflow
h0034,D_PHS,,CH,10.39,stInflow
h0034,D_PHS,Germany_,,5.9551,stInflow
h0034,D_PHS,,FR,12.716,stInflow
h0034,D_PHS,,IT,15.102,stInflow
h0034,D_PHS,,NO,24.7,stInflow
h0034,D_PHS,,SE,4.98,stInflow
h0035,D_PHS,,AT,7.846,stInflow
h0035,D_PHS,,CH,10.39,stInflow
h0035,D_PHS,Germany_,,5.9551,stInflow
h0035,D_PHS,,FR,12.716,stInflow
h0035,D_PHS,,IT,15.102,stInflow
h0035,D_PHS,,NO,24.7,stInflow
h0035,D_PHS,,SE,4.98,stInflow
h0036,D_PHS,,AT,7.846,stInflow
h0036,D_PHS,,CH,10.39,stInflow
h0036,D_PHS,Germany_,,5.9551,stInflow
h0036,D_PHS,,FR,12.716,stInflow
h0036,D_PHS,,IT,15.102,stInflow
h0036,D_PHS,,NO,24.7,stInflow
h0036,D_PHS,,SE,4.98,stInflow
h0037,D_PHS,,AT,7.846,stInflow
h0037,D_PHS,,CH,10.39,stInflow
h0037,D_PHS,Germany_,,5.9551,stInflow
h0037,D_PHS,,FR,12.716,stInflow
h0037,D_PHS,,IT,15.102,stInflow
h0037,D_PHS,,NO,24.7,stInflow
h0037,D_PHS,,SE,4.98,stInflow
h0038,D_PHS,,AT,7.846,stInflow
h0038,D_PHS,,CH,10.39,stInflow
h0038,D_PHS,Germany_,,5.9551,stInflow
h0038,D_PHS,,FR,12.716,stInflow
h0038,D_PHS,,IT,15.102,stInflow
h0038,D_PHS,,NO,24.7,stInflow
h0038,D_PHS,,SE,4.98,stInflow
h0039,D_PHS,,AT,7.846,stInflow
h0039,D_PHS,,CH,10.39,stInflow
h0039,D_PHS,Germany_,,5.9551,stInflow
h0039,D_PHS,,FR,12.716,stInflow
h0039,D_PHS,,IT,15.102,stInflow
h0039,D_PHS,,NO,24.7,stInflow
h0039,D_PHS,,SE,4.98,stInflow
h0040,D_PHS,,AT,7.846,stInflow
h0040,D_PHS,,CH,10.39,stInflow
h0040,D_PHS,Germany_,,5.9551,stInflow
h0040,D_PHS,,FR,12.716,stInflow
h0040,D_PHS,,IT,15.102,stInflow
h0040,D_PHS,,NO,24.7,stInflow
h0040,D_PHS,,SE,4.98,stInflow
h0041,D_PHS,,AT,7.846,stInflow
h0041,D_PHS,,CH,10.39,stInflow
h0041,D_PHS,Germany_,,5.9551,stInflow
h0041,D_PHS,,FR,12.716,stInflow
h0041,D_PHS,,IT,15.102,stInflow
h0041,D_PHS,,NO,24.7,stInflow
h0041,D_PHS,,SE,4.98,stInflow
h0042,D_PHS,,AT,7.846,stInflow
h0042,D_PHS,,CH,10.39,stInflow
h0042,D_PHS,Germany_,,5.9551,stInflow
h0042,D_PHS,,FR,12.716,stInflow
h0042,D_PHS,,IT,15.102,stInflow
h0042,D_PHS,,NO,24.7,stInflow
h0042,D_PHS,,SE,4.98,stInflow
h0043,D_PHS,,AT,7.846,stInflow
h0043,D_PHS,,CH,10.39,stInflow
h0043,D_PHS,Germany_,,5.9551,stInflow
h0043,D_PHS,,FR,12.716,stInflow
h0043,D_PHS,,IT,15.102,stInflow
h0043,D_PHS,,NO,24.7,stInflow
h0043,D_PHS,,SE,4.98,stInflow
h0044,D_PHS,,AT,7.846,stInflow
h0044,D_PHS,,CH,10.39,stInflow
h0044,D_PHS,Germany_,,5.9551,stInflow
h0044,D_PHS,,FR,12.716,stInflow
h0044,D_PHS,,IT,15.102,stInflow
