region_expansion,technology,constraint
DE < DEA2,rooftop < rooftop_c,"100 capaConv[none, 2050, DEA2, rooftop_c] == 1.6837654845965457"
DE < DEA3,rooftop < rooftop_c,"100 capaConv[none, 2050, DEA3, rooftop_c] == 1.8789616735930466"
DE < DEA4,rooftop < rooftop_c,"100 capaConv[none, 2050, DEA4, rooftop_c] == 2.349192174572997"
DE < DEA5,rooftop < rooftop_c,"100 capaConv[none, 2050, DEA5, rooftop_c] == 0.8241205586254284"
DE < DEB1,rooftop < rooftop_c,"100 capaConv[none, 2050, DEB1, rooftop_c] == 1.027143039601812"
DE < DEB2,rooftop < rooftop_c,"100 capaConv[none, 2050, DEB2, rooftop_c] == 0.1798084677215275"
DE < DEB3,rooftop < rooftop_c,"100 capaConv[none, 2050, DEB3, rooftop_c] == 0.7190173286714402"
DE < DEC0_,rooftop < rooftop_c,"100 capaConv[none, 2050, DEC0_, rooftop_c] == 0.34618676970199413"
DE < DED2,rooftop < rooftop_c,"100 capaConv[none, 2050, DED2, rooftop_c] == 1.5986361685471617"
DE < DED4,rooftop < rooftop_c,"100 capaConv[none, 2050, DED4, rooftop_c] == 0.36384678963908995"
DE < DED5,rooftop < rooftop_c,"100 capaConv[none, 2050, DED5, rooftop_c] == 0.05755330772840929"
DE < DEE0,rooftop < rooftop_c,"100 capaConv[none, 2050, DEE0, rooftop_c] == 2.958776877558572"
DE < DEF0,rooftop < rooftop_c,"100 capaConv[none, 2050, DEF0, rooftop_c] == 3.6776974475483692"
DE < DEG0,rooftop < rooftop_c,"100 capaConv[none, 2050, DEG0, rooftop_c] == 2.226519631559729"
DE < DE11,openspace < openspace_a,"100 capaConv[none, 2050, DE11, openspace_a] == 1.4680466219935886"
DE < DE12,openspace < openspace_a,"100 capaConv[none, 2050, DE12, openspace_a] == 0.24917442899399211"
DE < DE13,openspace < openspace_a,"100 capaConv[none, 2050, DE13, openspace_a] == 0.21028109199599868"
DE < DE14,openspace < openspace_a,"100 capaConv[none, 2050, DE14, openspace_a] == 1.5749802089955924"
DE < DE21,openspace < openspace_a,"100 capaConv[none, 2050, DE21, openspace_a] == 0.4668148939954279"
