region_2,technology_1,technology_2,technology_3,parameter,value
DE40,wind_onshore,onshore,onshore_b,capaConvUp,11.709
DE50,wind_onshore,onshore,onshore_a,capaConvUp,0.172
DE50,wind_onshore,onshore,onshore_b,capaConvUp,0.172
DE60,wind_onshore,onshore,onshore_a,capaConvUp,0.139
DE60,wind_onshore,onshore,onshore_b,capaConvUp,0.042
DE71,wind_onshore,onshore,onshore_a,capaConvUp,2.406
DE71,wind_onshore,onshore,onshore_b,capaConvUp,1.123
DE72,wind_onshore,onshore,onshore_a,capaConvUp,1.678
DE72,wind_onshore,onshore,onshore_b,capaConvUp,0.833
DE73,wind_onshore,onshore,onshore_a,capaConvUp,3.927
DE73,wind_onshore,onshore,onshore_b,capaConvUp,1.09
DE80,wind_onshore,onshore,onshore_a,capaConvUp,12.128
DE80,wind_onshore,onshore,onshore_b,capaConvUp,3.843
DE91,wind_onshore,onshore,onshore_a,capaConvUp,2.041
DE91,wind_onshore,onshore,onshore_b,capaConvUp,0.833
DE13,wind_onshore,onshore,onshore_a,capaConvUp,2.359
DE13,wind_onshore,onshore,onshore_b,capaConvUp,2.55
DE24,wind_onshore,onshore,onshore_a,capaConvUp,2.723
DE24,wind_onshore,onshore,onshore_b,capaConvUp,1.558
DE27,wind_onshore,onshore,onshore_a,capaConvUp,0.249
DE27,wind_onshore,onshore,onshore_b,capaConvUp,7.132
DE14,wind_onshore,onshore,onshore_a,capaConvUp,2.096
DE14,wind_onshore,onshore,onshore_b,capaConvUp,2.884
DE30,wind_onshore,onshore,onshore_a,capaConvUp,0.032
DE30,wind_onshore,onshore,onshore_b,capaConvUp,0.03
DE11,wind_offshore,offshore,offshore_a,capaConvUp,0
DE12,wind_offshore,offshore,offshore_a,capaConvUp,0
DE94,wind_offshore,offshore,offshore_a,capaConvUp,9.1
DEA1,wind_offshore,offshore,offshore_a,capaConvUp,0
DEA4,wind_offshore,offshore,offshore_a,capaConvUp,0
DEA5,wind_offshore,offshore,offshore_a,capaConvUp,0
DEB3,wind_offshore,offshore,offshore_a,capaConvUp,0
DED2,wind_offshore,offshore,offshore_a,capaConvUp,0
DED4,wind_offshore,offshore,offshore_a,capaConvUp,0
DED5,wind_offshore,offshore,offshore_a,capaConvUp,0
DEE0,wind_offshore,offshore,offshore_a,capaConvUp,0
DEF0,wind_offshore,offshore,offshore_a,capaConvUp,28.8
DEG0,wind_offshore,offshore,offshore_a,capaConvUp,0
DE92,wind_offshore,offshore,offshore_a,capaConvUp,0
DE93,wind_offshore,offshore,offshore_a,capaConvUp,0
DEA2,wind_offshore,offshore,offshore_a,capaConvUp,0
DEB1,wind_offshore,offshore,offshore_a,capaConvUp,0
DEC0_,wind_offshore,offshore,offshore_a,capaConvUp,0
DEA3,wind_offshore,offshore,offshore_a,capaConvUp,0
DEB2,wind_offshore,offshore,offshore_a,capaConvUp,0
DE21,wind_offshore,offshore,offshore_a,capaConvUp,0
DE22,wind_offshore,offshore,offshore_a,capaConvUp,0
DE23,wind_offshore,offshore,offshore_a,capaConvUp,0
DE25,wind_offshore,offshore,offshore_a,capaConvUp,0
DE26,wind_offshore,offshore,offshore_a,capaConvUp,0
DE40,wind_offshore,offshore,offshore_a,capaConvUp,0
DE50,wind_offshore,offshore,offshore_a,capaConvUp,0
DE60,wind_offshore,offshore,offshore_a,capaConvUp,0
DE71,wind_offshore,offshore,offshore_a,capaConvUp,0
DE72,wind_offshore,offshore,offshore_a,capaConvUp,0
DE73,wind_offshore,offshore,offshore_a,capaConvUp,0
DE80,wind_offshore,offshore,offshore_a,capaConvUp,12.06
DE91,wind_offshore,offshore,offshore_a,capaConvUp,0
DE13,wind_offshore,offshore,offshore_a,capaConvUp,0
DE24,wind_offshore,offshore,offshore_a,capaConvUp,0
DE27,wind_offshore,offshore,offshore_a,capaConvUp,0
DE14,wind_offshore,offshore,offshore_a,capaConvUp,0
DE30,wind_offshore,offshore,offshore_a,capaConvUp,0
DE12,wind_offshore,offshore,offshore_b,capaConvUp,0
DE94,wind_offshore,offshore,offshore_b,capaConvUp,1.82
DEA1,wind_offshore,offshore,offshore_b,capaConvUp,0
DEA4,wind_offshore,offshore,offshore_b,capaConvUp,0
DEA5,wind_offshore,offshore,offshore_b,capaConvUp,0
DEB3,wind_offshore,offshore,offshore_b,capaConvUp,0
DED2,wind_offshore,offshore,offshore_b,capaConvUp,0
DED4,wind_offshore,offshore,offshore_b,capaConvUp,0
DED5,wind_offshore,offshore,offshore_b,capaConvUp,0
DEE0,wind_offshore,offshore,offshore_b,capaConvUp,0
DEF0,wind_offshore,offshore,offshore_b,capaConvUp,5.76
DEG0,wind_offshore,offshore,offshore_b,capaConvUp,0
DE92,wind_offshore,offshore,offshore_b,capaConvUp,0
DE93,wind_offshore,offshore,offshore_b,capaConvUp,0
DEA2,wind_offshore,offshore,offshore_b,capaConvUp,0
DEB1,wind_offshore,offshore,offshore_b,capaConvUp,0
DEC0_,wind_offshore,offshore,offshore_b,capaConvUp,0
DEA3,wind_offshore,offshore,offshore_b,capaConvUp,0
DEB2,wind_offshore,offshore,offshore_b,capaConvUp,0
DE21,wind_offshore,offshore,offshore_b,capaConvUp,0
DE22,wind_offshore,offshore,offshore_b,capaConvUp,0
DE23,wind_offshore,offshore,offshore_b,capaConvUp,0
DE25,wind_offshore,offshore,offshore_b,capaConvUp,0
DE26,wind_offshore,offshore,offshore_b,capaConvUp,0
DE40,wind_offshore,offshore,offshore_b,capaConvUp,0
DE50,wind_offshore,offshore,offshore_b,capaConvUp,0
DE60,wind_offshore,offshore,offshore_b,capaConvUp,0
DE71,wind_offshore,offshore,offshore_b,capaConvUp,0
DE72,wind_offshore,offshore,offshore_b,capaConvUp,0
DE73,wind_offshore,offshore,offshore_b,capaConvUp,0
DE80,wind_offshore,offshore,offshore_b,capaConvUp,2.4
