technology_1,technology_2,region_1,parameter,timestep_2,value
wind_onshore,onshore_a,DK,avaConv,d003,0.6857041666666666
wind_onshore,onshore_a,ES,avaConv,d003,0.28154033333333334
wind_onshore,onshore_a,FI,avaConv,d003,0.11335879166666667
wind_onshore,onshore_a,FR,avaConv,d003,0.17486383333333333
wind_onshore,onshore_a,GR,avaConv,d003,0.074314125
wind_onshore,onshore_a,HR,avaConv,d003,0.06773366666666668
wind_onshore,onshore_a,HU,avaConv,d003,0.32486587499999997
wind_onshore,onshore_a,IE,avaConv,d003,0.3465187916666667
wind_onshore,onshore_a,IT,avaConv,d003,0.06706975000000001
wind_onshore,onshore_a,LU,avaConv,d003,0.36759787499999996
wind_onshore,onshore_a,NL,avaConv,d003,0.3719803750000001
wind_onshore,onshore_a,NO,avaConv,d003,0.5795066666666667
wind_onshore,onshore_a,PL,avaConv,d003,0.6773020833333333
wind_onshore,onshore_a,PT,avaConv,d003,0.347844
wind_onshore,onshore_a,RO,avaConv,d003,0.19861949999999998
wind_onshore,onshore_a,SE,avaConv,d003,0.41629420833333336
wind_onshore,onshore_a,SI,avaConv,d003,0.10648933099999998
wind_onshore,onshore_a,SK,avaConv,d003,0.223845320125
wind_onshore,onshore_a,UK,avaConv,d003,0.4791723333333333
wind_onshore,onshore_a,EE,avaConv,d003,0.18885774999999996
wind_onshore,onshore_a,LT,avaConv,d003,0.48216479166666676
wind_onshore,onshore_a,LV,avaConv,d003,0.28618237499999993
wind_onshore,onshore_a,NONEU_Balkan,avaConv,d003,0.029878405541666663
wind_onshore,onshore_a,TR,avaConv,d003,0.074314125
wind_onshore,onshore_a,AT,avaConv,d004,0.7645869583333335
wind_onshore,onshore_a,BE,avaConv,d004,0.22433383333333334
wind_onshore,onshore_a,BG,avaConv,d004,0.34259591666666656
wind_onshore,onshore_a,CH,avaConv,d004,0.10280454166666665
wind_onshore,onshore_a,CZ,avaConv,d004,0.6596698333333334
wind_onshore,onshore_a,DK,avaConv,d004,0.5682639166666666
wind_onshore,onshore_a,ES,avaConv,d004,0.12663024999999997
wind_onshore,onshore_a,FI,avaConv,d004,0.27371612500000003
wind_onshore,onshore_a,FR,avaConv,d004,0.13048970833333332
wind_onshore,onshore_a,GR,avaConv,d004,0.15665158333333332
wind_onshore,onshore_a,HR,avaConv,d004,0.143683875
wind_onshore,onshore_a,HU,avaConv,d004,0.687987875
