region_1,region_2,carrier_1,carrier_2,parameter,timestep_2,value
FI,FI,electricity,electricity_central,dem,d006,2.4122001617083337
FR,FR,electricity,electricity_central,dem,d006,56.410115785833334
GR,GR,electricity,electricity_central,dem,d006,6.323245019458334
HR,HR,electricity,electricity_central,dem,d006,1.9052136546249996
HU,HU,electricity,electricity_central,dem,d006,3.098534539875
IE,IE,electricity,electricity_central,dem,d006,2.4768366628750003
IT,IT,electricity,electricity_central,dem,d006,11.245739042708335
LU,LU,electricity,electricity_central,dem,d006,0.7487070844583336
NL,NL,electricity,electricity_central,dem,d006,6.776345558125001
NO,NO,electricity,electricity_central,dem,d006,12.132592699166665
PL,PL,electricity,electricity_central,dem,d006,14.1740449175
PT,PT,electricity,electricity_central,dem,d006,4.530770973666667
RO,RO,electricity,electricity_central,dem,d006,5.287601486000001
SE,SE,electricity,electricity_central,dem,d006,13.48321526375
SI,SI,electricity,electricity_central,dem,d006,0.7902553962083333
SK,SK,electricity,electricity_central,dem,d006,1.8839244527083332
UK,UK,electricity,electricity_central,dem,d006,31.314567316249995
EE,EE,electricity,electricity_central,dem,d006,0.77288382975
LT,LT,electricity,electricity_central,dem,d006,0.4743086132083334
LV,LV,electricity,electricity_central,dem,d006,0.66970789675
NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,dem,d006,5.869781572208333
TR,TR,electricity,electricity_central,dem,d006,25.876833355416668
AT,AT,electricity,electricity_central,dem,d007,4.789098206583333
BE,BE,electricity,electricity_central,dem,d007,5.541687861791666
BG,BG,electricity,electricity_central,dem,d007,4.570081957208333
CH,CH,electricity,electricity_central,dem,d007,10.284796317499998
CZ,CZ,electricity,electricity_central,dem,d007,5.566701736374999
DK,DK,electricity,electricity_central,dem,d007,4.584846099791666
ES,ES,electricity,electricity_central,dem,d007,26.561041630000005
FI,FI,electricity,electricity_central,dem,d007,2.6497151927916662
FR,FR,electricity,electricity_central,dem,d007,65.577420255
GR,GR,electricity,electricity_central,dem,d007,7.186913049125001
HR,HR,electricity,electricity_central,dem,d007,2.209642864583333
HU,HU,electricity,electricity_central,dem,d007,3.488473476458333
IE,IE,electricity,electricity_central,dem,d007,2.792850017125
IT,IT,electricity,electricity_central,dem,d007,14.499376937041669
LU,LU,electricity,electricity_central,dem,d007,0.8590277347916664
NL,NL,electricity,electricity_central,dem,d007,8.262560274791666
NO,NO,electricity,electricity_central,dem,d007,13.214702055833333
PL,PL,electricity,electricity_central,dem,d007,17.47070235916667
PT,PT,electricity,electricity_central,dem,d007,5.457640235208334
RO,RO,electricity,electricity_central,dem,d007,6.109801225416667
SE,SE,electricity,electricity_central,dem,d007,15.131022825416665
SI,SI,electricity,electricity_central,dem,d007,0.9418241003333333
SK,SK,electricity,electricity_central,dem,d007,2.115729691125
UK,UK,electricity,electricity_central,dem,d007,35.91995719791668
EE,EE,electricity,electricity_central,dem,d007,0.8780806524583333
LT,LT,electricity,electricity_central,dem,d007,0.548557974375
LV,LV,electricity,electricity_central,dem,d007,0.7708698264583332
NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,dem,d007,5.574438912999999
TR,TR,electricity,electricity_central,dem,d007,29.411251775833335
AT,AT,electricity,electricity_central,dem,d008,4.931746302375
BE,BE,electricity,electricity_central,dem,d008,5.7632494852916665
BG,BG,electricity,electricity_central,dem,d008,4.790666752333333
CH,CH,electricity,electricity_central,dem,d008,10.249391131291665
CZ,CZ,electricity,electricity_central,dem,d008,5.7638733575000005
DK,DK,electricity,electricity_central,dem,d008,4.5572807675
ES,ES,electricity,electricity_central,dem,d008,30.49215021583333
FI,FI,electricity,electricity_central,dem,d008,2.5662659475833336
FR,FR,electricity,electricity_central,dem,d008,68.95402385208332
GR,GR,electricity,electricity_central,dem,d008,7.6874431030000006
HR,HR,electricity,electricity_central,dem,d008,2.273792941875
HU,HU,electricity,electricity_central,dem,d008,3.6294410500833343
IE,IE,electricity,electricity_central,dem,d008,2.831476721708334
IT,IT,electricity,electricity_central,dem,d008,15.452749655833337
LU,LU,electricity,electricity_central,dem,d008,0.899903871625
NL,NL,electricity,electricity_central,dem,d008,8.407963993791666
NO,NO,electricity,electricity_central,dem,d008,13.279387510833333
PL,PL,electricity,electricity_central,dem,d008,18.144707631666666
PT,PT,electricity,electricity_central,dem,d008,5.525482261541666
RO,RO,electricity,electricity_central,dem,d008,6.555747214333333
SE,SE,electricity,electricity_central,dem,d008,14.963422295
SI,SI,electricity,electricity_central,dem,d008,0.9944552976250001
SK,SK,electricity,electricity_central,dem,d008,2.236567321
UK,UK,electricity,electricity_central,dem,d008,36.27326086833333
EE,EE,electricity,electricity_central,dem,d008,0.8991393665000001
LT,LT,electricity,electricity_central,dem,d008,0.5584040135416667
LV,LV,electricity,electricity_central,dem,d008,0.7720333111666666
