technology_1,region_1,parameter,timestep_2,value
rooftop,ES,avaConv,d008,0.09096785833333333
rooftop,FI,avaConv,d008,0.0008221500000000001
rooftop,FR,avaConv,d008,0.054635350000000006
rooftop,GR,avaConv,d008,0.08742819166666665
rooftop,HR,avaConv,d008,0.03884756833333333
rooftop,HU,avaConv,d008,0.05161164166666666
rooftop,IE,avaConv,d008,0.040526675000000005
rooftop,IT,avaConv,d008,0.06611231666666668
rooftop,LU,avaConv,d008,0.017202937499999998
rooftop,NL,avaConv,d008,0.006468524999999999
rooftop,NO,avaConv,d008,0.0138651625
rooftop,PL,avaConv,d008,0.02008332083333333
rooftop,PT,avaConv,d008,0.03690324166666666
rooftop,RO,avaConv,d008,0.059164291666666674
rooftop,SE,avaConv,d008,0.005384574999999999
rooftop,SI,avaConv,d008,0.0259452375
rooftop,SK,avaConv,d008,0.03962390833333333
rooftop,UK,avaConv,d008,0.0066969291666666665
rooftop,EE,avaConv,d008,0.00498715
rooftop,LT,avaConv,d008,0.015607229166666669
rooftop,LV,avaConv,d008,0.011943429166666665
rooftop,NONEU_Balkan,avaConv,d008,0.069767203375
rooftop,TR,avaConv,d008,0.08742819166666665
rooftop,AT,avaConv,d009,0.04946652083333333
rooftop,BE,avaConv,d009,0.003357054166666667
rooftop,BG,avaConv,d009,0.07245568749999999
rooftop,CH,avaConv,d009,0.060213825
rooftop,CZ,avaConv,d009,0.017694075
rooftop,DK,avaConv,d009,0.0015687875
rooftop,ES,avaConv,d009,0.05910910833333335
rooftop,FI,avaConv,d009,0.0025242583333333333
rooftop,FR,avaConv,d009,0.038379075
rooftop,GR,avaConv,d009,0.09204941666666668
rooftop,HR,avaConv,d009,0.05939089183333334
rooftop,HU,avaConv,d009,0.0313502875
rooftop,IE,avaConv,d009,0.014961391666666666
rooftop,IT,avaConv,d009,0.06156829583333332
rooftop,LU,avaConv,d009,0.010071045833333332
rooftop,NL,avaConv,d009,0.0034594583333333335
rooftop,NO,avaConv,d009,0.0045868666666666665
rooftop,PL,avaConv,d009,0.029624962500000004
rooftop,PT,avaConv,d009,0.0336581875
rooftop,RO,avaConv,d009,0.05600463750000001
rooftop,SE,avaConv,d009,0.003042579166666667
rooftop,SI,avaConv,d009,0.051770337500000006
rooftop,SK,avaConv,d009,0.040664079166666665
rooftop,UK,avaConv,d009,0.02382794166666666
rooftop,EE,avaConv,d009,0.0033154625
rooftop,LT,avaConv,d009,0.02013865
rooftop,LV,avaConv,d009,0.0068168916666666675
rooftop,NONEU_Balkan,avaConv,d009,0.07438754566666667
rooftop,TR,avaConv,d009,0.09204941666666668
rooftop,AT,avaConv,d010,0.03435623333333334
rooftop,BE,avaConv,d010,0.023263158333333336
rooftop,BG,avaConv,d010,0.077242025
rooftop,CH,avaConv,d010,0.030002962500000004
rooftop,CZ,avaConv,d010,0.023009758333333335
rooftop,DK,avaConv,d010,0.040862704166666666
rooftop,ES,avaConv,d010,0.05322237083333334
rooftop,FI,avaConv,d010,0.003766583333333333
rooftop,FR,avaConv,d010,0.02313275416666667
rooftop,GR,avaConv,d010,0.09116864166666666
rooftop,HR,avaConv,d010,0.04173360058333333
rooftop,HU,avaConv,d010,0.014849770833333331
rooftop,IE,avaConv,d010,0.018390195833333334
rooftop,IT,avaConv,d010,0.03435200416666667
rooftop,LU,avaConv,d010,0.005335283333333333
rooftop,NL,avaConv,d010,0.02542764583333333
rooftop,NO,avaConv,d010,0.01943526666666667
rooftop,PL,avaConv,d010,0.008856925
rooftop,PT,avaConv,d010,0.06112875416666667
rooftop,RO,avaConv,d010,0.029735270833333338
