region_1,region_2,carrier_1,parameter,timestep_2,value
CZ,CZ,heatResidental,dem,d009,3.9958495438333337
DK,DK,heatResidental,dem,d009,3.6530965269999993
ES,ES,heatResidental,dem,d009,14.696263987500002
FI,FI,heatResidental,dem,d009,11.377721848500002
FR,FR,heatResidental,dem,d009,37.65262956708333
GR,GR,heatResidental,dem,d009,4.245903345458335
HR,HR,heatResidental,dem,d009,0.8796668023333334
HU,HU,heatResidental,dem,d009,3.1215656536666665
IE,IE,heatResidental,dem,d009,2.3005729106666664
IT,IT,heatResidental,dem,d009,29.98315295299999
LU,LU,heatResidental,dem,d009,0.3032254727083334
NL,NL,heatResidental,dem,d009,9.506946110583334
NO,NO,heatResidental,dem,d009,1.774094339583334
PL,PL,heatResidental,dem,d009,10.316037605583334
PT,PT,heatResidental,dem,d009,4.512261679833332
RO,RO,heatResidental,dem,d009,1.962012446458334
SE,SE,heatResidental,dem,d009,9.800859284374999
SI,SI,heatResidental,dem,d009,0.8859233210833333
SK,SK,heatResidental,dem,d009,0.7247497971666669
UK,UK,heatResidental,dem,d009,24.82993600333333
EE,EE,heatResidental,dem,d009,0.7896964318333333
LT,LT,heatResidental,dem,d009,1.1048494135000002
LV,LV,heatResidental,dem,d009,0.793195262875
NONEU_Balkan,NONEU_Balkan,heatResidental,dem,d009,1.624282105625
TR,TR,heatResidental,dem,d009,21.196809237083333
AT,AT,heatResidental,dem,d010,6.080289163250001
BE,BE,heatResidental,dem,d010,2.7685769810000003
BG,BG,heatResidental,dem,d010,1.4981034515833336
CH,CH,heatResidental,dem,d010,2.4525193680833333
CZ,CZ,heatResidental,dem,d010,3.991485631500001
DK,DK,heatResidental,dem,d010,3.6496917595833334
ES,ES,heatResidental,dem,d010,14.669896168749998
FI,FI,heatResidental,dem,d010,11.372976364791663
FR,FR,heatResidental,dem,d010,37.409627476666664
GR,GR,heatResidental,dem,d010,4.327903994000001
HR,HR,heatResidental,dem,d010,0.8788292844999998
HU,HU,heatResidental,dem,d010,3.117056058958333
IE,IE,heatResidental,dem,d010,2.2799072017916666
IT,IT,heatResidental,dem,d010,27.403123581541674
LU,LU,heatResidental,dem,d010,0.3028057839999999
NL,NL,heatResidental,dem,d010,9.454353214083335
NO,NO,heatResidental,dem,d010,1.7723432037500002
PL,PL,heatResidental,dem,d010,10.28786966375
PT,PT,heatResidental,dem,d010,4.438768545208333
RO,RO,heatResidental,dem,d010,1.9599715917499998
SE,SE,heatResidental,dem,d010,9.794121661124999
SI,SI,heatResidental,dem,d010,0.8843285692916666
SK,SK,heatResidental,dem,d010,0.7246243454166668
UK,UK,heatResidental,dem,d010,24.632818267083337
EE,EE,heatResidental,dem,d010,0.7880513058333333
LT,LT,heatResidental,dem,d010,1.102899180375
LV,LV,heatResidental,dem,d010,0.7910264510416668
NONEU_Balkan,NONEU_Balkan,heatResidental,dem,d010,1.622384254666667
TR,TR,heatResidental,dem,d010,21.59273094041666
AT,AT,heatResidental,dem,d011,5.9848267081666675
BE,BE,heatResidental,dem,d011,2.7631635438750006
BG,BG,heatResidental,dem,d011,1.4968719469583336
CH,CH,heatResidental,dem,d011,2.444008915291666
CZ,CZ,heatResidental,dem,d011,3.9822884427916665
DK,DK,heatResidental,dem,d011,3.6447449126666664
ES,ES,heatResidental,dem,d011,14.67486139208333
FI,FI,heatResidental,dem,d011,11.366889398083332
FR,FR,heatResidental,dem,d011,37.413722607083336
GR,GR,heatResidental,dem,d011,4.135147172416667
HR,HR,heatResidental,dem,d011,0.8777255730416665
HU,HU,heatResidental,dem,d011,3.111802225916666
IE,IE,heatResidental,dem,d011,2.2659897155833337
IT,IT,heatResidental,dem,d011,29.066117614249993
LU,LU,heatResidental,dem,d011,0.3022173435
NL,NL,heatResidental,dem,d011,9.427935695916666
NO,NO,heatResidental,dem,d011,1.7700970464166674
PL,PL,heatResidental,dem,d011,10.256220012291664
PT,PT,heatResidental,dem,d011,4.376367769875
RO,RO,heatResidental,dem,d011,1.957593925416667
SE,SE,heatResidental,dem,d011,9.785479406458332
SI,SI,heatResidental,dem,d011,0.8822269473333334
SK,SK,heatResidental,dem,d011,0.7244781897916667
UK,UK,heatResidental,dem,d011,24.498356604166673
EE,EE,heatResidental,dem,d011,0.788441238875
LT,LT,heatResidental,dem,d011,1.1030100134583332
LV,LV,heatResidental,dem,d011,0.7914871967916667
NONEU_Balkan,NONEU_Balkan,heatResidental,dem,d011,1.6198831975833334
TR,TR,heatResidental,dem,d011,20.662047945833333
AT,AT,heatResidental,dem,d012,5.963882534541665
BE,BE,heatResidental,dem,d012,2.757737863583333
BG,BG,heatResidental,dem,d012,1.4956626795000003
CH,CH,heatResidental,dem,d012,2.437459663458333
CZ,CZ,heatResidental,dem,d012,3.967994694291667
DK,DK,heatResidental,dem,d012,3.639070724875
ES,ES,heatResidental,dem,d012,14.654091797083332
FI,FI,heatResidental,dem,d012,11.362239329916667
FR,FR,heatResidental,dem,d012,37.34487453875
GR,GR,heatResidental,dem,d012,3.997130288833333
HR,HR,heatResidental,dem,d012,0.87664179125
HU,HU,heatResidental,dem,d012,3.1057622332916672
IE,IE,heatResidental,dem,d012,2.258969276791667
IT,IT,heatResidental,dem,d012,28.266830395791672
LU,LU,heatResidental,dem,d012,0.30162757229166665
NL,NL,heatResidental,dem,d012,9.406590242541666
NO,NO,heatResidental,dem,d012,1.7683811199166666
PL,PL,heatResidental,dem,d012,10.21433445120833
PT,PT,heatResidental,dem,d012,4.299978497041668
RO,RO,heatResidental,dem,d012,1.9548604762083333
SE,SE,heatResidental,dem,d012,9.778877253916665
SI,SI,heatResidental,dem,d012,0.8801632739999999
SK,SK,heatResidental,dem,d012,0.7243101642500002
UK,UK,heatResidental,dem,d012,24.427832145833335
EE,EE,heatResidental,dem,d012,0.7871776684583333
LT,LT,heatResidental,dem,d012,1.1013705840416665
LV,LV,heatResidental,dem,d012,0.7897999305833331
NONEU_Balkan,NONEU_Balkan,heatResidental,dem,d012,1.61742730125
TR,TR,heatResidental,dem,d012,19.995664440833334
AT,AT,heatResidental,dem,d013,5.943985461250001
BE,BE,heatResidental,dem,d013,2.753000869833333
BG,BG,heatResidental,dem,d013,1.4945072747083332
CH,CH,heatResidental,dem,d013,2.4359065072499995
CZ,CZ,heatResidental,dem,d013,3.9613306363333334
DK,DK,heatResidental,dem,d013,3.6341023699166666
ES,ES,heatResidental,dem,d013,14.61982721375
FI,FI,heatResidental,dem,d013,11.357555134833333
FR,FR,heatResidental,dem,d013,37.36138669458333
GR,GR,heatResidental,dem,d013,4.002665052083333
HR,HR,heatResidental,dem,d013,0.8756062826666665
HU,HU,heatResidental,dem,d013,3.100342745125
IE,IE,heatResidental,dem,d013,2.252562341041666
IT,IT,heatResidental,dem,d013,27.972889540541654
LU,LU,heatResidental,dem,d013,0.30111266129166664
NL,NL,heatResidental,dem,d013,9.385420115958334
NO,NO,heatResidental,dem,d013,1.7666526009583334
PL,PL,heatResidental,dem,d013,10.178251011541667
PT,PT,heatResidental,dem,d013,4.283330342166667
RO,RO,heatResidental,dem,d013,1.9524078414999997
SE,SE,heatResidental,dem,d013,9.772226650874998
SI,SI,heatResidental,dem,d013,0.8781915199583331
SK,SK,heatResidental,dem,d013,0.7241594004999999
UK,UK,heatResidental,dem,d013,24.364092457916666
EE,EE,heatResidental,dem,d013,0.7850524701666668
LT,LT,heatResidental,dem,d013,1.0987959177499997
LV,LV,heatResidental,dem,d013,0.7869898332916668
NONEU_Balkan,NONEU_Balkan,heatResidental,dem,d013,1.6150807945833332
TR,TR,heatResidental,dem,d013,20.02238780041667
AT,AT,heatResidental,dem,d014,5.903155436625002
BE,BE,heatResidental,dem,d014,2.747715883333333
BG,BG,heatResidental,dem,d014,1.493486178083333
CH,CH,heatResidental,dem,d014,2.4326800589999995
CZ,CZ,heatResidental,dem,d014,3.957185950625
DK,DK,heatResidental,dem,d014,3.6287257310000007
ES,ES,heatResidental,dem,d014,14.600338281249998
FI,FI,heatResidental,dem,d014,11.353192550416665
