region_2,technology_1,technology_2,technology_3,parameter,value
HU,pv,agrar_pv,,capaConvUp,0
IE,pv,agrar_pv,,capaConvUp,0
IT,pv,agrar_pv,,capaConvUp,0
LT,pv,agrar_pv,,capaConvUp,0
LU,pv,agrar_pv,,capaConvUp,0
LV,pv,agrar_pv,,capaConvUp,0
NL,pv,agrar_pv,,capaConvUp,0
NO,pv,agrar_pv,,capaConvUp,0
NONEU_Balkan,pv,agrar_pv,,capaConvUp,0
PL,pv,agrar_pv,,capaConvUp,0
PT,pv,agrar_pv,,capaConvUp,0
RO,pv,agrar_pv,,capaConvUp,0
SE,pv,agrar_pv,,capaConvUp,0
SI,pv,agrar_pv,,capaConvUp,0
SK,pv,agrar_pv,,capaConvUp,0
TR,pv,agrar_pv,,capaConvUp,0
UK,pv,agrar_pv,,capaConvUp,0
LU,pv,agrar_pv,,capaConvUp,0
