region_1,region_2,region_1,region_2,carrier_1,carrier_2,parameter_1,value_1,parameter_2,value_2
DE,,NL,,electricity,electricity_central,capaExcResiDir,4.25,expExcUp,0
DE,,NO,,electricity,electricity_central,capaExcResiDir,1.4,expExcUp,0
DE,,PL,,electricity,electricity_central,capaExcResiDir,2.5,expExcUp,0
DE,,SE,,electricity,electricity_central,capaExcResiDir,0.615,expExcUp,0
DE,,UK,,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
DK,DK,NL,NL,electricity,electricity_central,capaExcResiDir,0.7,expExcUp,0
DK,DK,NO,NO,electricity,electricity_central,capaExcResiDir,1.64,expExcUp,0
DK,DK,PL,PL,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
DK,DK,SE,SE,electricity,electricity_central,capaExcResiDir,2.44,expExcUp,0
DK,DK,UK,UK,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
ES,ES,FR,FR,electricity,electricity_central,capaExcResiDir,4.8,expExcUp,0
ES,ES,IT,IT,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
ES,ES,UK,UK,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
ES,ES,PT,PT,electricity,electricity_central,capaExcResiDir,6.1,expExcUp,0
FI,FI,NO,NO,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
FI,FI,SE,SE,electricity,electricity_central,capaExcResiDir,3.2,expExcUp,0
FR,FR,IT,IT,electricity,electricity_central,capaExcResiDir,6.8,expExcUp,0
FR,FR,LU,LU,electricity,electricity_central,capaExcResiDir,0.38,expExcUp,0
FR,FR,UK,UK,electricity,electricity_central,capaExcResiDir,2,expExcUp,0
GR,GR,IT,IT,electricity,electricity_central,capaExcResiDir,0.5,expExcUp,0
GR,GR,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,1.35,expExcUp,0
GR,GR,TR,TR,electricity,electricity_central,capaExcResiDir,0.66,expExcUp,0
HR,HR,HU,HU,electricity,electricity_central,capaExcResiDir,2,expExcUp,0
HR,HR,IT,IT,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
HR,HR,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,1.3,expExcUp,0
HR,HR,SI,SI,electricity,electricity_central,capaExcResiDir,1.64,expExcUp,0
HU,HU,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,0.6,expExcUp,0
HU,HU,RO,RO,electricity,electricity_central,capaExcResiDir,1.617,expExcUp,0
HU,HU,SI,SI,electricity,electricity_central,capaExcResiDir,2.4,expExcUp,0
HU,HU,SK,SK,electricity,electricity_central,capaExcResiDir,2.8,expExcUp,0
IE,IE,UK,UK,electricity,electricity_central,capaExcResiDir,1.75,expExcUp,0
IT,IT,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,0.8,expExcUp,0
IT,IT,SI,SI,electricity,electricity_central,capaExcResiDir,0.68,expExcUp,0
LT,LT,LV,LV,electricity,electricity_central,capaExcResiDir,1.2,expExcUp,0
LT,LT,PL,PL,electricity,electricity_central,capaExcResiDir,1,expExcUp,0
LT,LT,SE,SE,electricity,electricity_central,capaExcResiDir,0.7,expExcUp,0
LV,LV,SE,SE,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
NL,NL,NO,NO,electricity,electricity_central,capaExcResiDir,0.7,expExcUp,0
NL,NL,UK,UK,electricity,electricity_central,capaExcResiDir,1,expExcUp,0
NO,NO,SE,SE,electricity,electricity_central,capaExcResiDir,3.695,expExcUp,0
NO,NO,UK,UK,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
NONEU_Balkan,NONEU_Balkan,RO,RO,electricity,electricity_central,capaExcResiDir,0.8,expExcUp,0
PL,PL,SE,SE,electricity,electricity_central,capaExcResiDir,0.6,expExcUp,0
PL,PL,SK,SK,electricity,electricity_central,capaExcResiDir,0.99,expExcUp,0
RO,RO,TR,TR,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
EE,EE,FI,FI,electricity,electricity_central,capaExcResiDir,1.016,expExcUp,0
EE,EE,LV,LV,electricity,electricity_central,capaExcResiDir,1.5,expExcUp,0
EE,EE,SE,SE,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
