timestep_1,technology_1,technology_2,region_3,parameter,value
all,wind_offshore,RES_Wind_Offshore_Transitional,CZ,capaConvUp,0
all,wind_offshore,RES_Wind_Offshore_Shallow,CZ,capaConvUp,0
all,wind_offshore,RES_Wind_Offshore_Deep,CZ,capaConvUp,0
all,wind_onshore,RES_Wind_Onshore_Avg,CZ,capaConvUp,37.4
all,wind_onshore,RES_Wind_Onshore_Inf,CZ,capaConvUp,18.7
all,wind_onshore,RES_Wind_Onshore_Opt,CZ,capaConvUp,18.7
all,photovoltaik,RES_PV_Utility_Avg,DE,capaConvUp,66.05622526
all,photovoltaik,RES_PV_Utility_Inf,DE,capaConvUp,66.05622526
all,photovoltaik,RES_PV_Utility_Opt,DE,capaConvUp,66.05622526
all,wind_offshore,RES_Wind_Offshore_Transitional,DE,capaConvUp,27.86666667
all,wind_offshore,RES_Wind_Offshore_Shallow,DE,capaConvUp,27.86666667
all,wind_offshore,RES_Wind_Offshore_Deep,DE,capaConvUp,27.86666667
all,wind_onshore,RES_Wind_Onshore_Avg,DE,capaConvUp,148.4
all,wind_onshore,RES_Wind_Onshore_Inf,DE,capaConvUp,74.2
all,wind_onshore,RES_Wind_Onshore_Opt,DE,capaConvUp,74.2
all,photovoltaik,RES_PV_Utility_Avg,DK,capaConvUp,5.808332682
all,photovoltaik,RES_PV_Utility_Inf,DK,capaConvUp,5.808332682
all,photovoltaik,RES_PV_Utility_Opt,DK,capaConvUp,5.808332682
all,wind_offshore,RES_Wind_Offshore_Transitional,DK,capaConvUp,49.66666667
all,wind_offshore,RES_Wind_Offshore_Shallow,DK,capaConvUp,49.66666667
all,wind_offshore,RES_Wind_Offshore_Deep,DK,capaConvUp,49.66666667
all,wind_onshore,RES_Wind_Onshore_Avg,DK,capaConvUp,21.73333333
all,wind_onshore,RES_Wind_Onshore_Inf,DK,capaConvUp,10.86666667
all,wind_onshore,RES_Wind_Onshore_Opt,DK,capaConvUp,10.86666667
all,photovoltaik,RES_PV_Utility_Avg,EE,capaConvUp,0.862183024
all,photovoltaik,RES_PV_Utility_Inf,EE,capaConvUp,0.862183024
all,photovoltaik,RES_PV_Utility_Opt,EE,capaConvUp,0.862183024
all,wind_offshore,RES_Wind_Offshore_Transitional,EE,capaConvUp,18.63333333
all,wind_offshore,RES_Wind_Offshore_Shallow,EE,capaConvUp,18.63333333
all,wind_offshore,RES_Wind_Offshore_Deep,EE,capaConvUp,18.63333333
all,wind_onshore,RES_Wind_Onshore_Avg,EE,capaConvUp,10.53333333
all,wind_onshore,RES_Wind_Onshore_Inf,EE,capaConvUp,5.266666667
all,wind_onshore,RES_Wind_Onshore_Opt,EE,capaConvUp,5.266666667
all,photovoltaik,RES_PV_Utility_Avg,ES,capaConvUp,79
all,photovoltaik,RES_PV_Utility_Inf,ES,capaConvUp,79
all,photovoltaik,RES_PV_Utility_Opt,ES,capaConvUp,79
all,wind_offshore,RES_Wind_Offshore_Transitional,ES,capaConvUp,18.33333333
all,wind_offshore,RES_Wind_Offshore_Shallow,ES,capaConvUp,18.33333333
all,wind_offshore,RES_Wind_Offshore_Deep,ES,capaConvUp,18.33333333
all,wind_onshore,RES_Wind_Onshore_Avg,ES,capaConvUp,244.6
all,wind_onshore,RES_Wind_Onshore_Inf,ES,capaConvUp,122.3
all,wind_onshore,RES_Wind_Onshore_Opt,ES,capaConvUp,122.3
all,photovoltaik,RES_PV_Utility_Avg,FI,capaConvUp,8.670806315
all,photovoltaik,RES_PV_Utility_Inf,FI,capaConvUp,8.670806315
all,photovoltaik,RES_PV_Utility_Opt,FI,capaConvUp,8.670806315
all,wind_offshore,RES_Wind_Offshore_Transitional,FI,capaConvUp,43.5
all,wind_offshore,RES_Wind_Offshore_Shallow,FI,capaConvUp,43.5
all,wind_offshore,RES_Wind_Offshore_Deep,FI,capaConvUp,43.5
all,wind_onshore,RES_Wind_Onshore_Avg,FI,capaConvUp,47.86666667
all,wind_onshore,RES_Wind_Onshore_Inf,FI,capaConvUp,23.93333333
all,wind_onshore,RES_Wind_Onshore_Opt,FI,capaConvUp,23.93333333
