technology_1,region_1,region_2,parameter,timestep_2,value
pumpedHydro,DE,DE21,stInflow,d012,0.077229545
pumpedHydro,DE,DE23,stInflow,d012,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d012,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d012,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d012,0.131992313
pumpedHydro,DE,DE13,stInflow,d012,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d012,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d013,0.042265624
pumpedHydro,DE,DEA5,stInflow,d013,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d013,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d013,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d013,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d013,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d013,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d013,0.077229545
pumpedHydro,DE,DE23,stInflow,d013,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d013,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d013,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d013,0.131992313
pumpedHydro,DE,DE13,stInflow,d013,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d013,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d014,0.042265624
pumpedHydro,DE,DEA5,stInflow,d014,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d014,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d014,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d014,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d014,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d014,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d014,0.077229545
pumpedHydro,DE,DE23,stInflow,d014,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d014,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d014,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d014,0.131992313
pumpedHydro,DE,DE13,stInflow,d014,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d014,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d015,0.042265624
pumpedHydro,DE,DEA5,stInflow,d015,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d015,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d015,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d015,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d015,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d015,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d015,0.077229545
pumpedHydro,DE,DE23,stInflow,d015,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d015,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d015,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d015,0.131992313
pumpedHydro,DE,DE13,stInflow,d015,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d015,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d016,0.042265624
pumpedHydro,DE,DEA5,stInflow,d016,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d016,0.11092971000000001
