technology_1,technology_2,parameter,timestep_2,value
wind_offshore,offshore_a,avaConv,d162,0.40324211462500004
wind_offshore,offshore_a,avaConv,d163,0.14568592620833334
wind_offshore,offshore_a,avaConv,d164,0.3845947548333333
wind_offshore,offshore_a,avaConv,d165,0.4819189282083333
wind_offshore,offshore_a,avaConv,d166,0.20516118125000007
wind_offshore,offshore_a,avaConv,d167,0.028801642625000002
wind_offshore,offshore_a,avaConv,d168,0.011811652208333334
wind_offshore,offshore_a,avaConv,d169,0.15711679858333333
wind_offshore,offshore_a,avaConv,d170,0.3935151203333333
wind_offshore,offshore_a,avaConv,d171,0.3561122784999999
wind_offshore,offshore_a,avaConv,d172,0.6188599553333334
wind_offshore,offshore_a,avaConv,d173,0.14578371187499997
wind_offshore,offshore_a,avaConv,d174,0.21926742245833333
wind_offshore,offshore_a,avaConv,d175,0.319765133375
wind_offshore,offshore_a,avaConv,d176,0.2764012342083334
wind_offshore,offshore_a,avaConv,d177,0.15948553970833332
wind_offshore,offshore_a,avaConv,d178,0.3859895030416666
wind_offshore,offshore_a,avaConv,d179,0.4599292590833333
wind_offshore,offshore_a,avaConv,d180,0.213686288375
wind_offshore,offshore_a,avaConv,d181,0.49594344858333334
wind_offshore,offshore_a,avaConv,d182,0.32593490666666664
wind_offshore,offshore_a,avaConv,d183,0.622778101375
wind_offshore,offshore_a,avaConv,d184,0.7072939377083333
wind_offshore,offshore_a,avaConv,d185,0.5786875988750001
wind_offshore,offshore_a,avaConv,d186,0.18691999825000005
wind_offshore,offshore_a,avaConv,d187,0.5790699390833334
wind_offshore,offshore_a,avaConv,d188,0.7201821844166667
wind_offshore,offshore_a,avaConv,d189,0.49688600587500004
wind_offshore,offshore_a,avaConv,d190,0.5200785463333333
wind_offshore,offshore_a,avaConv,d191,0.45651878179166666
wind_offshore,offshore_a,avaConv,d192,0.6375211622500001
wind_offshore,offshore_a,avaConv,d193,0.7359072780000001
wind_offshore,offshore_a,avaConv,d194,0.3829082961249998
wind_offshore,offshore_a,avaConv,d195,0.15175633649999998
wind_offshore,offshore_a,avaConv,d196,0.6697870645
wind_offshore,offshore_a,avaConv,d197,0.6061098410000002
wind_offshore,offshore_a,avaConv,d198,0.4660393516666667
wind_offshore,offshore_a,avaConv,d199,0.2798604607083333
wind_offshore,offshore_a,avaConv,d200,0.29399730533333335
wind_offshore,offshore_a,avaConv,d201,0.1184175205416667
wind_offshore,offshore_a,avaConv,d202,0.52827518575
wind_offshore,offshore_a,avaConv,d203,0.15836402025000001
wind_offshore,offshore_a,avaConv,d204,0.21310985820833328
wind_offshore,offshore_a,avaConv,d205,0.09717791195833332
wind_offshore,offshore_a,avaConv,d206,0.028903568458333334
wind_offshore,offshore_a,avaConv,d207,0.2626721499166667
